Source File	English Term	Bulgarian Term	Justification
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Diagnostic Findings	Диагностични находки	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Treatment	Лечение	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Response to Treatment	Отговор на лечението	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Physician's Signature	Подпис на лекуващия лекар	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Influenza A	Грип А	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Fever	Температура	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Chills	Втрисане	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Muscle aches	Мускулни болки	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Cough	Кашлица	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Sore throat	Възпалено гърло	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Influenza-like illness	Грипоподобно заболяване	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Over-the-counter fever reducers	Лекарства за понижаване на температурата без рецепта	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Rhonchi	Хрипове	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Nasopharyngeal swab	Назофарингеален секрет	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	RT-PCR testing	RT-PCR изследване	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Chest X-ray	Рентгенография на бял дроб	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Pulse oximetry	Пулсова оксиметрия	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Pneumonia	Пневмония	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Antiviral therapy	Антивирусна терапия	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Oseltamivir	Оселтамивир	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Acetaminophen	Парацетамол	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Reye's syndrome	Синдром на Рей	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Annual influenza vaccination	Годишна противогрипна ваксинация	Standard Bulgarian medical term.
infectious diseases_influenza_32_BGgpt_terms_EN_BG.txt	Hand hygiene practices	Хигиенни практики на ръцете	Standard Bulgarian medical term.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	History of Present Illness	История на заболяването	Standard Bulgarian medical term for patient's current illness history.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Medical History	Минали заболявания и алергии	Standard Bulgarian medical term for patient's past medical conditions.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Response to Treatment	Ефект от лечението	Standard Bulgarian medical term for patient's reaction to therapy.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Preventative Measures and Recommendations	Профилактични мерки и препоръки	Standard Bulgarian medical term for preventative advice.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Fever	Температура / повишена температура	Standard Bulgarian medical term for high body temperature.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Cough	Кашлица	Standard Bulgarian medical term for cough.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Muscle aches	Мускулни болки	Standard Bulgarian medical term for muscle pain.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Fatigue	Отпадналост	Standard Bulgarian medical term for feeling of tiredness.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Influenza infection	Грипна инфекция	Standard Bulgarian medical term for the flu.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Upper respiratory tract infection	Инфекция на горните дихателни пътища	Standard Bulgarian medical term for infection of the upper airways.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Malaise	Общо неразположение	Standard Bulgarian medical term for feeling unwell.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Respiratory complications	Дихателни усложнения	Standard Bulgarian medical term for problems with breathing.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Chest x-ray	Рентгенография на бял дроб	Standard Bulgarian medical term for chest x-ray.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Pulse oximetry	Пулсова оксиметрия	Standard Bulgarian medical term for pulse oximetry.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Interstitial infiltrates	Интерстициални инфилтрати	Standard Bulgarian medical term for lung infiltrates.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Bacterial infection	Бактериална инфекция	Standard Bulgarian medical term for bacterial infection.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Antiviral therapy	Антивирусно лечение	Standard Bulgarian medical term for treatment with antiviral drugs.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Symptomatic treatment	Симптоматично лечение	Standard Bulgarian medical term for treatment aimed at relieving symptoms.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Afebrile	Без температура	Standard Bulgarian medical term for absence of fever.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Immunocompromised	Имунокомпрометиран	Standard Bulgarian medical term for weakened immune system.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Primary care physician	Личен лекар	Standard Bulgarian medical term for general practitioner.
infectious diseases_influenza_33_BGgpt_terms_EN_BG.txt	Infectious Diseases Unit	Инфекциозна клиника	Standard Bulgarian medical term for the clinic dealing with infectious diseases.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Admission Date	Дата на приема	Standard Bulgarian medical term for admission date.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Discharge Date	Дата на изписване	Standard Bulgarian medical term for discharge date.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	History of Present Illness	Анамнеза за настоящото заболяване	Standard Bulgarian medical term for patient's current medical history.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Hypertension	Хипертония	Commonly used and understood term for high blood pressure.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Diagnostic Findings	Диагностични находки	Standard Bulgarian medical term for results of diagnostic tests.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Rapid Antigen Test	Бърз антигенен тест	Standard Bulgarian medical term for a diagnostic test.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	RT-PCR test	RT-PCR тест	Standard Bulgarian medical term for Reverse transcription polymerase chain reaction.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Chest x-ray	Рентгенография на бял дроб	Standard Bulgarian medical term for chest x-ray.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Pulse Oximetry	Пулсова оксиметрия	Standard Bulgarian medical term for non-invasive method for monitoring oxygen saturation.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Influenza A	Грип А	Standard Bulgarian medical term for Influenza A.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Treatment Summary	Обобщение на лечението	Standard Bulgarian medical term for summary of treatment.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Hospital Course	Ход на лечението в болнично заведение	Standard Bulgarian medical term for patient treatment during the hospital stay.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки при изписване	Standard Bulgarian medical term for patient instructions and recommendations.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Preventive Measures	Профилактични мерки	Standard Bulgarian medical term for preventive measures.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Follow-up Appointment	Контролен преглед	Standard Bulgarian medical term for follow-up appointment.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Medications at Discharge	Медикаменти при изписване	Standard Bulgarian medical term for medications at discharge.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	Allergies	Алергии	Standard Bulgarian medical term for allergies.
infectious diseases_influenza_34_BGgpt_terms_EN_BG.txt	IV fluids	Интравенозни течности	Standard Bulgarian medical term for intravenous fluids.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical discharge document.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Date of Admission	Дата на приемане	Standard Bulgarian medical term for admission date.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Date of Discharge	Дата на изписване	Standard Bulgarian medical term for discharge date.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Admitting Physician	Лекуващ лекар при приемане	Standard Bulgarian medical term for attending physician at admission.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Reason for Admission	Причина за приемане	Standard Bulgarian medical term for admission reason.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Clinical Findings	Данни от обективното състояние	Standard Bulgarian medical term for patient status findings.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Diagnostic Workup	Диагностично уточняване	Standard Bulgarian medical term for diagnostic procedures.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Rapid Antigen Test	Бърз антигенен тест	Standard Bulgarian medical term for rapid antigen test.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	RT-PCR Test	RT-PCR тест	Standard Bulgarian medical term for RT-PCR test.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Chest X-Ray	Рентгенография на бял дроб	Standard Bulgarian medical term for chest X-ray.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Pulse Oximetry	Пулсова оксиметрия	Standard Bulgarian medical term for pulse oximetry.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Treatment Administered	Прилагано лечение	Standard Bulgarian medical term for administered treatment.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Antiviral Therapy	Антивирусна терапия	Standard Bulgarian medical term for antiviral therapy.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Supportive Care	Симптоматично лечение	Standard Bulgarian medical term for supportive treatment.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Asthma Management	Лечение на астма	Standard Bulgarian medical term for asthma management.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Course in the Hospital	Хоспитализационен курс / протичане в болница	Standard Bulgarian medical term for hospital course.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки при изписване	Standard Bulgarian medical term for discharge instructions.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Follow-Up	Проследяване	Standard Bulgarian medical term for follow-up.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Preventive Measures	Профилактични мерки	Standard Bulgarian medical term for preventive measures.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Summary and Prognosis	Обобщение и прогноза	Standard Bulgarian medical term for summary and prognosis.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Signature	Подпис	Standard Bulgarian medical term for signature.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Influenza	Грип	Standard Bulgarian medical term for influenza.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	High fever	Висока температура	Standard Bulgarian medical term for high fever.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Severe muscle aches	Силни мускулни болки	Standard Bulgarian medical term for severe muscle aches.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Fatigue	Отпадналост	Standard Bulgarian medical term for fatigue.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Dry cough	Суха кашлица	Standard Bulgarian medical term for dry cough.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Dehydration	Дехидратация	Standard Bulgarian medical term for dehydration.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Wheezing	Свиркащи хрипове	Standard Bulgarian medical term for wheezing.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Comorbidities	Съпътстващи заболявания	Standard Bulgarian medical term for comorbidities.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Hemodynamically stable	Хемодинамично стабилен	Standard Bulgarian medical term for hemodynamically stable.
infectious diseases_influenza_35_BGgpt_terms_EN_BG.txt	Secondary bacterial infection	Вторична бактериална инфекция	Standard Bulgarian medical term for secondary bacterial infection.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	History of Present Illness	Анамнеза за настоящото заболяване	Standard Bulgarian medical term for patient's current illness history.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Diagnostic Workup	Диагностичен план и резултати	Standard Bulgarian medical term for patient diagnostics.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Rapid antigen test for influenza	Бърз антигенен тест за грип	Standard Bulgarian medical term for influenza rapid test.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	RT-PCR test for influenza	RT-PCR тест за грип	Standard Bulgarian medical term for influenza PCR test.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Pulse Oximetry	Пулсова оксиметрия	Standard Bulgarian medical term for pulse oximetry.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Hypoxemia	Хипоксемия	Standard Bulgarian medical term for low blood oxygen.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Hemodynamically stable	Хемодинамично стабилен	Standard Bulgarian medical term for stable hemodynamics.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Antiviral therapy	Антивирусно лечение	Standard Bulgarian medical term for antiviral treatment.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Antipyretics	Антипиретици	Standard Bulgarian medical term for fever-reducing medication.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Follow-Up Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Preventive Measures	Профилактични мерки	Standard Bulgarian medical term for preventive actions.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Influenza vaccination	Ваксинация срещу грип	Standard Bulgarian medical term for flu shot.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Respiratory etiquette	Респираторен етикет	Standard Bulgarian medical term for respiratory hygiene.
infectious diseases_influenza_36_BGgpt_terms_EN_BG.txt	Discharge Physician	Лекуващ лекар при изписване	Standard Bulgarian medical term for discharging physician.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Influenza	Грип	Standard Bulgarian medical term.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Nasopharyngeal swab	Назофарингеален секрет	Standard Bulgarian medical term for the sample.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	RT-PCR testing	RT-PCR тест	Standard Bulgarian abbreviation for Reverse Transcription Polymerase Chain Reaction.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Chest x-ray	Рентгенография на бял дроб / гръден кош	Standard Bulgarian medical term.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Pulse oximetry	Пулсова оксиметрия	Standard Bulgarian medical term.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Hypoxemia	Хипоксемия	Standard Bulgarian medical term for low blood oxygen.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Antiviral therapy	Антивирусно лечение	Standard Bulgarian medical term.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Oseltamivir	Оселтамивир	Standard Bulgarian term for the antiviral medication.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Acetaminophen	Парацетамол	Standard Bulgarian term for the analgesic.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Reye's syndrome	Синдром на Рей	Standard Bulgarian term for the rare but serious condition.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical document for discharge.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions.
infectious diseases_influenza_37_BGgpt_terms_EN_BG.txt	Patient Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions.
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Myocardial Infarction	Миокарден инфаркт	Standard Bulgarian medical term for heart attack.
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Hypertension	Хипертония	Commonly used and understood term for high blood pressure.
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Treatment and Management	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Emergency Department	Спешно отделение	Standard Bulgarian medical term for emergency room
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Oxygen Saturation	Сатурация на кислород	Standard Bulgarian medical term for blood oxygen saturation
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Chest X-ray	Рентгенография на гръден кош	Standard Bulgarian medical term for chest x-ray
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Confirmatory	Потвърдителен	Standard Bulgarian medical term
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Primary Care Physician	Личен лекар / общопрактикуващ лекар	Standard Bulgarian medical term for general practitioner
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Infectious Disease Specialist	Специалист по инфекциозни болести	Standard Bulgarian medical term for infectious disease specialist
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Viral Infection	Вирусна инфекция	Standard Bulgarian medical term for viral infection
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Symptomatic Care	Симптоматично лечение	Standard Bulgarian medical term for treatment of symptoms
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Hydration	Хидратация	Standard Bulgarian medical term for maintaining body fluids
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Fever	Температура / повишена температура	Standard Bulgarian medical term for fever
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Respiratory Symptoms	Дихателни симптоми	Standard Bulgarian medical term for respiratory symptoms
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Hemodynamically Stable	Хемодинамично стабилен	Standard Bulgarian medical term for stable blood circulation
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Dehydration	Дехидратация	Standard Bulgarian medical term for dehydration
infectious diseases_influenza_38_BGgpt_terms_EN_BG.txt	Influenza A	Грип А	Standard Bulgarian medical term for influenza A
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Influenza	Грип	Standard Bulgarian medical term for influenza.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Nasopharyngeal swab	Назофарингеален секрет	Standard Bulgarian medical term for sample collected.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	RT-PCR	RT-PCR	Standard abbreviation for Reverse Transcription Polymerase Chain Reaction.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Hypoxemia	Хипоксемия	Standard Bulgarian medical term for low oxygen in the blood.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Pneumonia	Пневмония	Standard Bulgarian medical term for pneumonia.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Interstitial infiltrates	Интерстициални инфилтрати	Standard Bulgarian medical term for imaging findings.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Antiviral therapy	Антивирусно лечение	Standard Bulgarian medical term for antiviral treatment.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Oseltamivir	Озелтамивир	Standard Bulgarian medical name for the drug.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Acetaminophen	Парацетамол	Standard Bulgarian medical name for the drug.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Supplemental oxygen	Допълнителен кислород	Standard Bulgarian medical term for oxygen therapy.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Nasal cannula	Носова канюла	Standard Bulgarian medical term for oxygen delivery device.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Secondary bacterial infection	Вторична бактериална инфекция	Standard Bulgarian medical term for bacterial superinfection.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Dehydration	Дехидратация	Standard Bulgarian medical term for dehydration.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Complications	Усложнения	Standard Bulgarian medical term for complications.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Follow-up appointment	Контролен преглед	Standard Bulgarian medical term for follow-up.
infectious diseases_influenza_39_BGgpt_terms_EN_BG.txt	Reye's syndrome	Синдром на Рей	Standard Bulgarian medical term for Reye's syndrome.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	History of Present Illness	Анамнеза за настоящото заболяване	Standard Bulgarian medical term for patient's medical history regarding current illness.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / Статус	Standard Bulgarian medical term for patient's status.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Diagnostic Tests	Диагностични изследвания	Standard Bulgarian medical term for conducted tests.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Hospital Course	Ход на лечението	Standard Bulgarian medical term for patient's treatment during hospital stay.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Follow-Up	Контролен преглед / Проследяване	Standard Bulgarian medical terms for follow-up.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки при изписване	Standard Bulgarian medical term for patient instructions after being discharged.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Precautions	Предпазни мерки	Standard Bulgarian medical term for precautions.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Summary	Заключение	Standard Bulgarian medical term for summary.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Influenza	Грип	Standard Bulgarian medical term for influenza.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Rapid antigen test	Бърз тест за антиген	Standard Bulgarian medical term for rapid antigen test.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	RT-PCR test	PCR тест	Standard Bulgarian medical term for PCR test.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Antiviral therapy	Антивирусно лечение	Standard Bulgarian medical term for antiviral treatment.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Oseltamivir	Озелтамивир	Standard Bulgarian medical term for Oseltamivir.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Acetaminophen	Парацетамол	Standard Bulgarian medical term for Acetaminophen.
infectious diseases_influenza_3_BGgpt_terms_EN_BG.txt	Oxygen saturation	Сатурация на кислород	Standard Bulgarian medical term for oxygen saturation.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние	Standard Bulgarian medical term for patient status.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	History of Present Illness	Анамнеза за настоящото заболяване	Standard Bulgarian medical term for patient's current medical history.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Diagnostic Workup	Диагностично уточняване	Standard Bulgarian medical term for diagnostic tests and procedures.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Hospital Course	Ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Follow-Up and Instructions	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Influenza	Грип	Standard Bulgarian medical term for the flu.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Respiratory Distress	Дихателна недостатъчност	Standard Bulgarian medical term for respiratory distress.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Antiviral Therapy	Антивирусно лечение	Standard Bulgarian medical term for antiviral treatment.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Myalgias	Миалгии	Standard Bulgarian medical term for muscle aches.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Pharyngeal Erythema	Фарингеална еритема	Standard Bulgarian medical term for redness of the throat.
infectious diseases_influenza_40_BGgpt_terms_EN_BG.txt	Exudates	Ексудати	Standard Bulgarian medical term for the presence of pus or other fluid in tissues.
